run,heuristic,cost,expanded_nodes,runtime_s
0,Hamming,21,5331,0.014795800000229065
0,Manhattan,21,383,0.0010180999997828621
1,Hamming,21,5905,0.014827199999672303
1,Manhattan,21,1052,0.003106099999968137
2,Hamming,20,3710,0.009343199999875651
2,Manhattan,20,731,0.0019796000001406355
3,Hamming,24,20752,0.05255140000008396
3,Manhattan,24,1298,0.003996299999926123
4,Hamming,26,37502,0.0948009999997339
4,Manhattan,26,3322,0.009428200000002107
5,Hamming,23,13133,0.032679299999927025
5,Manhattan,23,1140,0.003121700000065175
6,Hamming,21,5711,0.014287500000136788
6,Manhattan,21,778,0.002094299999953364
7,Hamming,27,56284,0.14177740000013728
7,Manhattan,27,4064,0.011522100000092905
8,Hamming,21,4990,0.012347899999895162
8,Manhattan,21,189,0.0005078999997749634
9,Hamming,28,72276,0.1816183999999339
9,Manhattan,28,10033,0.028497000000243133
10,Hamming,23,13529,0.03419949999988603
10,Manhattan,23,1584,0.004314499999964028
11,Hamming,22,8700,0.022419100000206527
11,Manhattan,22,1784,0.004897199999959412
12,Hamming,22,7896,0.019845599999825936
12,Manhattan,22,952,0.0026425000000926957
13,Hamming,17,1077,0.0025519999999232823
13,Manhattan,17,300,0.0008111999995890073
14,Hamming,21,5602,0.013782199999695877
14,Manhattan,21,742,0.0020287000002099376
15,Hamming,22,8587,0.021596300000055635
15,Manhattan,22,1673,0.004663899999741261
16,Hamming,25,29883,0.07420570000022053
16,Manhattan,25,3995,0.011233499999889318
17,Hamming,20,4193,0.010884799999985262
17,Manhattan,20,584,0.0016411999999945692
18,Hamming,15,358,0.0008315999998558254
18,Manhattan,15,44,0.00012689999994108803
19,Hamming,23,12695,0.03203849999999875
19,Manhattan,23,882,0.002505399999790825
20,Hamming,25,28862,0.0720710999999028
20,Manhattan,25,3308,0.009378599999763537
21,Hamming,25,29627,0.07380860000012035
21,Manhattan,25,4134,0.01202530000000479
22,Hamming,25,28966,0.07558519999975033
22,Manhattan,25,3448,0.009729500000048574
23,Hamming,22,7507,0.019066600000314793
23,Manhattan,22,581,0.00161740000021382
24,Hamming,23,13497,0.03340960000014093
24,Manhattan,23,1796,0.004959299999882205
25,Hamming,25,28364,0.07001099999979488
25,Manhattan,25,2374,0.006530399999974179
26,Hamming,22,7820,0.02009730000008858
26,Manhattan,22,1207,0.0032906999999795516
27,Hamming,22,7681,0.019051600000238977
27,Manhattan,22,743,0.0020515000001068984
28,Hamming,26,37251,0.09368549999999232
28,Manhattan,26,2890,0.007989700000052835
29,Hamming,27,57677,0.142475099999956
29,Manhattan,27,7557,0.021251200000278914
30,Hamming,20,4336,0.010755499999959284
30,Manhattan,20,623,0.0017136000001301
31,Hamming,22,8006,0.0199149000000034
31,Manhattan,22,1076,0.0029626999998981773
32,Hamming,27,57181,0.14189209999995
32,Manhattan,27,6309,0.01780430000007982
33,Hamming,24,17074,0.04313619999993534
33,Manhattan,24,1140,0.003123199999663484
34,Hamming,19,2095,0.00500160000001415
34,Manhattan,19,92,0.0002494999998816638
35,Hamming,23,13209,0.0331703000001653
35,Manhattan,23,1387,0.0037788999998156214
36,Hamming,24,17408,0.044174800000291725
36,Manhattan,24,1340,0.0037852999998904124
37,Hamming,26,38842,0.09787649999998393
37,Manhattan,26,5124,0.014568600000075094
38,Hamming,24,18249,0.04657810000026075
38,Manhattan,24,2070,0.0061052000000927364
39,Hamming,25,28167,0.0701176000002306
39,Manhattan,25,1963,0.005548600000111037
40,Hamming,16,556,0.0013208999998823856
40,Manhattan,16,122,0.0003268999998908839
41,Hamming,24,17962,0.04610270000011951
41,Manhattan,24,1894,0.005271700000321289
42,Hamming,22,9102,0.023575400000027003
42,Manhattan,22,684,0.001970499999970343
43,Hamming,25,27979,0.0700261000001774
43,Manhattan,25,1214,0.003324799999973038
44,Hamming,8,13,3.930000002583256e-05
44,Manhattan,8,10,3.220000007786439e-05
45,Hamming,22,8771,0.0224489000001995
45,Manhattan,22,405,0.0010760999998638
46,Hamming,24,16352,0.041420300000027055
46,Manhattan,24,614,0.0016814000000522356
47,Hamming,19,2051,0.004971500000010565
47,Manhattan,19,216,0.0005971999999019317
48,Hamming,22,7768,0.019706399999904534
48,Manhattan,22,918,0.0025658999998086074
49,Hamming,24,18665,0.047116299999743205
49,Manhattan,24,2518,0.006950399999823276
50,Hamming,19,2473,0.005982399999993504
50,Manhattan,19,484,0.0013273999998091313
51,Hamming,25,27472,0.06893509999963499
51,Manhattan,25,1634,0.0044976999997743405
52,Hamming,23,12654,0.032339000000320084
52,Manhattan,23,943,0.0025556000000506174
53,Hamming,24,17879,0.04480519999970056
53,Manhattan,24,1513,0.004092899999704969
54,Hamming,24,17049,0.043978900000183785
54,Manhattan,24,885,0.0023702999997112784
55,Hamming,10,51,0.00013070000022707973
55,Manhattan,10,15,4.549999994196696e-05
56,Hamming,19,2168,0.005847800000083225
56,Manhattan,19,198,0.0005571000001509674
57,Hamming,22,7859,0.01984679999986838
57,Manhattan,22,1150,0.0032181000001401117
58,Hamming,23,12883,0.03205630000002202
58,Manhattan,23,1026,0.002819199999976263
59,Hamming,20,3417,0.008324000000357046
59,Manhattan,20,542,0.0015068000002429471
60,Hamming,26,37727,0.09460740000031365
60,Manhattan,26,3723,0.010446700000102283
61,Hamming,23,12945,0.03305839999984528
61,Manhattan,23,1092,0.003071399999953428
62,Hamming,24,17172,0.043651299999964976
62,Manhattan,24,971,0.002647499999966385
63,Hamming,20,3416,0.008341900000232272
63,Manhattan,20,57,0.00016119999963848386
64,Hamming,16,597,0.001404899999670306
64,Manhattan,16,175,0.0004625000001396984
65,Hamming,14,250,0.0005707999998776359
65,Manhattan,14,42,0.00011289999974906095
66,Hamming,24,17389,0.044327399999929185
66,Manhattan,24,1123,0.0030624000000898377
67,Hamming,21,6092,0.015043299999888404
67,Manhattan,21,1126,0.0031788999999662337
68,Hamming,18,1209,0.003286600000137696
68,Manhattan,18,86,0.00023430000010193908
69,Hamming,22,7390,0.018496199999844976
69,Manhattan,22,637,0.0017020999998749176
70,Hamming,22,7476,0.0185764000002564
70,Manhattan,22,688,0.0018778000003294437
71,Hamming,24,19177,0.048563800000010815
71,Manhattan,24,3013,0.008770899999944959
72,Hamming,22,8722,0.021705499999825406
72,Manhattan,22,444,0.00122369999962757
73,Hamming,25,28798,0.07157939999979135
73,Manhattan,25,2729,0.007673699999941164
74,Hamming,25,29303,0.0754135000001952
74,Manhattan,25,2725,0.00761049999982788
75,Hamming,30,115157,0.27776330000006055
75,Manhattan,30,20475,0.05688049999980649
76,Hamming,22,8371,0.021396499999809748
76,Manhattan,22,1245,0.003443900000092981
77,Hamming,24,17428,0.04398940000010043
77,Manhattan,24,1171,0.0031943999997565697
78,Hamming,26,38252,0.0960731999998643
78,Manhattan,26,3802,0.010701500000322994
79,Hamming,22,8294,0.020956400000159192
79,Manhattan,22,1303,0.0036109000002397806
80,Hamming,16,666,0.0015714999999545398
80,Manhattan,16,121,0.000335700000050565
81,Hamming,16,493,0.0011518000001160544
81,Manhattan,16,102,0.0002768999997897481
82,Hamming,19,2303,0.005665900000167312
82,Manhattan,19,314,0.0008615000001555018
83,Hamming,23,12799,0.03297100000008868
83,Manhattan,23,994,0.0029617999998663436
84,Hamming,24,18388,0.04684829999996509
84,Manhattan,24,2185,0.006119600000147329
85,Hamming,20,3619,0.009210199999870383
85,Manhattan,20,759,0.002144499999758409
86,Hamming,20,3746,0.009575900000072579
86,Manhattan,20,893,0.0030504999999720894
87,Hamming,18,1278,0.0031782999999450112
87,Manhattan,18,157,0.0004361000001154025
88,Hamming,26,39318,0.10700440000027811
88,Manhattan,26,5927,0.017602200000055745
89,Hamming,26,45166,0.12191550000034113
89,Manhattan,26,4749,0.013394599999628554
90,Hamming,23,13391,0.03468720000000758
90,Manhattan,23,1636,0.004502700000102777
91,Hamming,25,28528,0.07309450000002471
91,Manhattan,25,2133,0.00602279999975508
92,Hamming,19,2270,0.005605500000001484
92,Manhattan,19,273,0.0007472000002053392
93,Hamming,23,12252,0.03094569999984742
93,Manhattan,23,522,0.0014344000001074164
94,Hamming,18,1504,0.003543700000136596
94,Manhattan,18,178,0.0004814999997506675
95,Hamming,22,7887,0.019702300000062678
95,Manhattan,22,885,0.0024304999997184495
96,Hamming,25,29606,0.07354659999964497
96,Manhattan,25,3514,0.009739399999943998
97,Hamming,26,38561,0.09735389999968902
97,Manhattan,26,4299,0.012209100000291073
98,Hamming,26,38926,0.09856310000031954
98,Manhattan,26,4863,0.013773899999705463
99,Hamming,17,928,0.002267200000005687
99,Manhattan,17,148,0.0003974999999627471
